Total groups with frames: 198
Total frames: 6252

group_id | frame_count | max_size
----------------------------------------
  0 | 130 | 15x9
  1 |  35 | 121x152
  2 |  64 | 121x152
  3 |  18 | 121x152
  4 |  22 | 46x27
  5 |   4 | 121x152
  6 |   4 | 121x152
  7 |   4 | 121x152
  8 |   4 | 121x152
  9 |   4 | 121x152
 10 |   1 | 1x1
 11 |  20 | 15x15
 12 |  60 | 121x152
 13 |   3 | 15x15
 14 |   4 | 121x152
 15 |  26 | 121x152
 16 |   8 | 127x159
 17 |  20 | 121x152
 18 |   8 | 121x152
 19 |   7 | 121x152
 20 |   1 | 63x63
 21 |  10 | 13x19
 22 |  71 | 399x79
 23 |  38 | 16x16
 24 |   9 | 32x45
 25 |   9 | 41x45
 26 |  16 | 33x12
 27 |  80 | 10x15
 28 |   4 | 32x47
 29 |   1 | 74x39
 30 |  16 | 54x31
 31 |   6 | 64x49
 32 |  83 | 43x15
 33 |  25 | 15x15
 34 |  38 | 12x15
 35 |   4 | 15x15
 36 |  37 | 29x32
 37 |   1 | 15x15
 38 |   1 | 78x79
 39 |  17 | 117x192
 40 |   1 | 15x15
 41 |   4 | 121x152
 42 |   6 | 593x406
 43 |   3 | 121x152
 44 |   3 | 121x152
 45 |   3 | 121x152
 46 |   3 | 121x152
 47 |   3 | 121x152
 48 |   3 | 121x152
 49 |   3 | 121x152
 50 |   3 | 121x152
 51 |  44 | 121x152
 52 |  36 | 121x152
 53 |  42 | 148x137
 54 |  58 | 121x152
 55 |  32 | 121x152
 56 |   4 | 121x152
 57 |   4 | 127x127
 58 |  58 | 121x152
 59 |  26 | 121x151
 60 |  29 | 11x15
 61 |  37 | 121x152
 62 |  12 | 15x37
 63 | 132 | 121x152
 64 |   1 | 15x15
 65 | 162 | 121x152
 66 |  20 | 121x152
 67 |  74 | 121x152
 68 |  46 | 121x152
 69 |  14 | 121x152
 70 | 202 | 121x152
 71 |   4 | 121x152
 72 |  10 | 121x152
 73 |  28 | 121x152
 74 |  34 | 121x152
 75 |  10 | 121x152
 76 |  42 | 121x152
 77 |   4 | 121x152
 78 |   6 | 121x152
 79 |   7 | 121x152
 80 |  30 | 121x152
 81 |   1 | 32x47
 82 |   2 | 5x5
 83 |  34 | 121x152
 84 |  20 | 121x152
 85 |   4 | 14x15
 86 |  42 | 121x152
 88 | 336 | 121x152
 89 |   1 | 34x157
 90 |  88 | 109x82
 91 |   1 | 39x60
 93 |  23 | 67x131
 94 |  90 | 121x152
 95 | 198 | 97x107
 96 |   5 | 16x22
 97 |  30 | 31x30
 98 |   3 | 121x152
 99 |  90 | 96x107
100 |   2 | 21x15
101 | 130 | 15x9
102 |  35 | 121x152
103 |  64 | 121x152
104 |  18 | 121x152
105 |  22 | 46x27
106 |   4 | 121x152
107 |   4 | 121x152
108 |   4 | 121x152
109 |   4 | 121x152
110 |   4 | 121x152
111 |   1 | 1x1
112 |  20 | 15x15
113 |  60 | 121x152
114 |   3 | 15x15
115 |   4 | 121x152
116 |  26 | 121x152
117 |   8 | 127x159
118 |  20 | 121x152
119 |   8 | 121x152
120 |   7 | 121x152
121 |   1 | 63x63
122 |  10 | 13x19
123 |  71 | 399x79
124 |  38 | 16x16
125 |   9 | 32x45
126 |   9 | 41x45
127 |  16 | 33x12
128 |  80 | 10x15
129 |   4 | 32x47
130 |   1 | 74x39
131 |  16 | 54x31
132 |   6 | 64x49
133 |  83 | 43x15
134 |  25 | 15x15
135 |  38 | 12x15
136 |   4 | 15x15
137 |  37 | 29x32
138 |   1 | 15x15
139 |   1 | 78x79
140 |  17 | 117x192
141 |   1 | 15x15
142 |   4 | 121x152
143 |   6 | 593x406
144 |   3 | 121x152
145 |   3 | 121x152
146 |   3 | 121x152
147 |   3 | 121x152
148 |   3 | 121x152
149 |   3 | 121x152
150 |   3 | 121x152
151 |   3 | 121x152
152 |  44 | 121x152
153 |  36 | 121x152
154 |  42 | 148x137
155 |  58 | 121x152
156 |  32 | 121x152
157 |   4 | 121x152
158 |   4 | 127x127
159 |  58 | 121x152
160 |  26 | 121x151
161 |  29 | 11x15
162 |  37 | 121x152
163 |  12 | 15x37
164 | 132 | 121x152
165 |   1 | 15x15
166 | 162 | 121x152
167 |  20 | 121x152
168 |  74 | 121x152
169 |  46 | 121x152
170 |  14 | 121x152
171 | 202 | 121x152
172 |   4 | 121x152
173 |  10 | 121x152
174 |  28 | 121x152
175 |  34 | 121x152
176 |  10 | 121x152
177 |  42 | 121x152
178 |   4 | 121x152
179 |   6 | 121x152
180 |   7 | 121x152
181 |  30 | 121x152
182 |   1 | 32x47
183 |   2 | 5x5
184 |  34 | 121x152
185 |  20 | 121x152
186 |   4 | 14x15
187 |  42 | 121x152
189 | 336 | 121x152
190 |   1 | 34x157
191 |  88 | 109x82
192 |   1 | 39x60
194 |  23 | 67x131
195 |  90 | 121x152
196 | 198 | 97x107
197 |   5 | 16x22
198 |  30 | 31x30
199 |   3 | 121x152
200 |  90 | 96x107
201 |   2 | 21x15
